"","sqID","bins","Site","bin.lag","Quarter","taxnovel","funcnovel","Country","HydroBasin","Yearb4Comm","meantrait","sdtrait","traitchange","sdchange","Abtraitchange","Absdchange"
"1","G10003 Q4",1997,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,1996,1.86235043232258,0.370075064408768,0.179227403486221,0.0527335346921377,0.179227403486221,0.0527335346921377
"2","G10003 Q4",1999,"G10003",2,4,FALSE,FALSE,"SWE",2080030160,1997,1.63524670606532,0.422804996379968,-0.227103726257266,0.0527299319711996,0.227103726257266,0.0527299319711996
"3","G10003 Q4",2000,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,1999,1.59394358263631,0.410580560033715,-0.0413031234290087,-0.0122244363462527,0.0413031234290087,0.0122244363462527
"4","G10003 Q4",2002,"G10003",2,4,FALSE,FALSE,"SWE",2080030160,2000,1.0421644542372,0.301591661460021,-0.551779128399109,-0.108988898573694,0.551779128399109,0.108988898573694
"5","G10003 Q4",2004,"G10003",2,4,FALSE,FALSE,"SWE",2080030160,2002,1.17279757167995,0.244469682213162,0.130633117442754,-0.0571219792468587,0.130633117442754,0.0571219792468587
"6","G10003 Q4",2006,"G10003",2,4,FALSE,FALSE,"SWE",2080030160,2004,1.25950129164108,0.303433658512628,0.0867037199611298,0.0589639762994658,0.0867037199611298,0.0589639762994658
"7","G10003 Q4",2008,"G10003",2,4,FALSE,FALSE,"SWE",2080030160,2006,1.17493129842187,0.328279259721855,-0.0845699932192112,0.0248456012092273,0.0845699932192112,0.0248456012092273
"8","G10003 Q4",2009,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2008,1.8715834951155,0.436727998997404,0.696652196693632,0.108448739275549,0.696652196693632,0.108448739275549
"9","G10003 Q4",2010,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2009,1.23440353666069,0.27299895252898,-0.637179958454817,-0.163729046468425,0.637179958454817,0.163729046468425
"10","G10003 Q4",2012,"G10003",2,4,FALSE,FALSE,"SWE",2080030160,2010,1.57263425707005,0.347150846362983,0.338230720409367,0.0741518938340033,0.338230720409367,0.0741518938340033
"11","G10003 Q4",2013,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2012,1.16119649340794,0.378274868195513,-0.411437763662116,0.0311240218325301,0.411437763662116,0.0311240218325301
"12","G10003 Q4",2014,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2013,0.762408237527031,0.25020916011993,-0.398788255880907,-0.128065708075583,0.398788255880907,0.128065708075583
"13","G10003 Q4",2015,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2014,1.23243724236926,0.385666815906948,0.470029004842229,0.135457655787018,0.470029004842229,0.135457655787018
"14","G10003 Q4",2016,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2015,1.78840276105218,0.403503724004724,0.555965518682922,0.0178369080977759,0.555965518682922,0.0178369080977759
"15","G10003 Q4",2017,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2016,1.35432321209659,0.370324957587665,-0.434079548955593,-0.0331787664170592,0.434079548955593,0.0331787664170592
"16","G10003 Q4",2018,"G10003",1,4,FALSE,FALSE,"SWE",2080030160,2017,1.08088288679088,0.304589539977398,-0.273440325305707,-0.0657354176102662,0.273440325305707,0.0657354176102662
"17","G10008 Q3",2008,"G10008",1,3,FALSE,FALSE,"SWE",2080030340,2007,1.15439530946081,0.385264332334001,0.200006092246637,0.103064668405581,0.200006092246637,0.103064668405581
"18","G10008 Q3",2009,"G10008",1,3,FALSE,FALSE,"SWE",2080030340,2008,1.08088499480844,0.362869739026994,-0.0735103146523644,-0.0223945933070067,0.0735103146523644,0.0223945933070067
"19","G10008 Q3",2010,"G10008",1,3,FALSE,FALSE,"SWE",2080030340,2009,0.313778438299749,0.142928009248826,-0.767106556508695,-0.219941729778168,0.767106556508695,0.219941729778168
"20","G10008 Q3",2013,"G10008",3,3,FALSE,FALSE,"SWE",2080030340,2010,0.505480263254005,0.300140190559581,0.191701824954255,0.157212181310756,0.191701824954255,0.157212181310756
"21","G10008 Q3",2014,"G10008",1,3,FALSE,FALSE,"SWE",2080030340,2013,0.419602595282375,0.247473946804292,-0.0858776679716296,-0.0526662437552891,0.0858776679716296,0.0526662437552891
"22","G10016 Q4",1996,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,1995,2.21725564417872,0.384424706066222,0.590105670796928,0.0450651110632599,0.590105670796928,0.0450651110632599
"23","G10016 Q4",1997,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,1996,1.64460750033891,0.242427963358705,-0.572648143839812,-0.141996742707516,0.572648143839812,0.141996742707516
"24","G10016 Q4",1999,"G10016",2,4,FALSE,FALSE,"SWE",2080030160,1997,0.717528452515238,0.263702025538483,-0.927079047823668,0.0212740621797779,0.927079047823668,0.0212740621797779
"25","G10016 Q4",2000,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,1999,0.826479069496655,0.329650848031761,0.108950616981417,0.0659488224932774,0.108950616981417,0.0659488224932774
"26","G10016 Q4",2002,"G10016",2,4,FALSE,FALSE,"SWE",2080030160,2000,1.39203406937001,0.312768973156487,0.565554999873358,-0.0168818748752733,0.565554999873358,0.0168818748752733
"27","G10016 Q4",2004,"G10016",2,4,FALSE,FALSE,"SWE",2080030160,2002,0.817889607860903,0.255963465238399,-0.574144461509109,-0.0568055079180887,0.574144461509109,0.0568055079180887
"28","G10016 Q4",2006,"G10016",2,4,FALSE,FALSE,"SWE",2080030160,2004,1.13666496927566,0.268458743210824,0.318775361414752,0.0124952779724251,0.318775361414752,0.0124952779724251
"29","G10016 Q4",2008,"G10016",2,4,FALSE,FALSE,"SWE",2080030160,2006,0.875968152986656,0.36634209901167,-0.260696816289,0.0978833558008462,0.260696816289,0.0978833558008462
"30","G10016 Q4",2009,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2008,1.25513161296508,0.220040397283457,0.379163459978421,-0.146301701728213,0.379163459978421,0.146301701728213
"31","G10016 Q4",2010,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2009,1.26624408379882,0.371769436112261,0.0111124708337453,0.151729038828804,0.0111124708337453,0.151729038828804
"32","G10016 Q4",2012,"G10016",2,4,FALSE,FALSE,"SWE",2080030160,2010,1.06648700571907,0.26001718979824,-0.199757078079751,-0.111752246314021,0.199757078079751,0.111752246314021
"33","G10016 Q4",2013,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2012,0.670129944851067,0.422220440824144,-0.396357060868005,0.162203251025904,0.396357060868005,0.162203251025904
"34","G10016 Q4",2014,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2013,1.21896050688886,0.409644933160659,0.54883056203779,-0.012575507663485,0.54883056203779,0.012575507663485
"35","G10016 Q4",2015,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2014,0.992669775946377,0.472979133167009,-0.22629073094248,0.0633342000063494,0.22629073094248,0.0633342000063494
"36","G10016 Q4",2016,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2015,0.971972734575981,0.334815314819909,-0.0206970413703962,-0.1381638183471,0.0206970413703962,0.1381638183471
"37","G10016 Q4",2017,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2016,1.95437237403402,0.573788375598032,0.982399639458036,0.238973060778123,0.982399639458036,0.238973060778123
"38","G10016 Q4",2018,"G10016",1,4,FALSE,FALSE,"SWE",2080030160,2017,0.84902802392005,0.22921966171704,-1.10534435011397,-0.344568713880992,1.10534435011397,0.344568713880992
"39","G10019 Q3",1999,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,1998,1.58245233668955,0.314908751185045,0.503519778713467,0.0107966099367633,0.503519778713467,0.0107966099367633
"40","G10019 Q3",2000,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,1999,1.42317231676259,0.277217092624193,-0.159280019926958,-0.0376916585608517,0.159280019926958,0.0376916585608517
"41","G10019 Q3",2001,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2000,0.609849823294371,0.18236812863213,-0.813322493468223,-0.0948489639920629,0.813322493468223,0.0948489639920629
"42","G10019 Q3",2002,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2001,2.4892339964838,0.549859465744085,1.87938417318942,0.367491337111954,1.87938417318942,0.367491337111954
"43","G10019 Q3",2003,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2002,1.95849672164506,0.341763835149031,-0.530737274838736,-0.208095630595053,0.530737274838736,0.208095630595053
"44","G10019 Q3",2004,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2003,2.13762998714364,0.590182610047708,0.179133265498585,0.248418774898677,0.179133265498585,0.248418774898677
"45","G10019 Q3",2005,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2004,0.675273566492193,0.238335230477345,-1.46235642065145,-0.351847379570363,1.46235642065145,0.351847379570363
"46","G10019 Q3",2006,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2005,1.78873286918381,0.358266261532514,1.11345930269162,0.119931031055168,1.11345930269162,0.119931031055168
"47","G10019 Q3",2007,"G10019",1,3,FALSE,FALSE,"SWE",2080032990,2006,1.16460068668662,0.336275072335722,-0.624132182497188,-0.0219911891967913,0.624132182497188,0.0219911891967913
"48","G10021 Q4",1991,"G10021",1,4,TRUE,TRUE,"FIN",2080030100,1990,0.880372479586268,0.196167415505217,0.747978868165809,-0.0374041578464073,0.747978868165809,0.0374041578464073
"49","G10021 Q4",1993,"G10021",2,4,FALSE,FALSE,"FIN",2080030100,1991,1.38320732926437,0.24141093551375,0.502834849678103,0.0452435200085332,0.502834849678103,0.0452435200085332
"50","G10021 Q4",1994,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1993,1.48356348080582,0.22753714440294,0.100356151541454,-0.01387379111081,0.100356151541454,0.01387379111081
"51","G10021 Q4",1995,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1994,1.28283839916703,0.23733578108287,-0.200725081638799,0.00979863667992992,0.200725081638799,0.00979863667992992
"52","G10021 Q4",1996,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1995,0.84846145922582,0.177767469165126,-0.434376939941206,-0.0595683119177441,0.434376939941206,0.0595683119177441
"53","G10021 Q4",1997,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1996,1.01475002208791,0.150287825836231,0.166288562862085,-0.0274796433288958,0.166288562862085,0.0274796433288958
"54","G10021 Q4",1998,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1997,1.40195933692993,0.173988537034464,0.387209314842027,0.0237007111982335,0.387209314842027,0.0237007111982335
"55","G10021 Q4",1999,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1998,1.00884045634204,0.185623965095162,-0.393118880587889,0.0116354280606976,0.393118880587889,0.0116354280606976
"56","G10021 Q4",2000,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,1999,0.898386604519303,0.187790422280674,-0.110453851822741,0.00216645718551248,0.110453851822741,0.00216645718551248
"57","G10021 Q4",2001,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,2000,1.10389862552149,0.197343309132022,0.205512021002183,0.00955288685134803,0.205512021002183,0.00955288685134803
"58","G10021 Q4",2002,"G10021",1,4,FALSE,FALSE,"FIN",2080030100,2001,1.01584749688841,0.16185992084033,-0.0880511286330798,-0.0354833882916918,0.0880511286330798,0.0354833882916918
"59","G10021 Q4",2005,"G10021",3,4,FALSE,FALSE,"FIN",2080030100,2002,0.828338240907589,0.165425135931406,-0.187509255980817,0.00356521509107541,0.187509255980817,0.00356521509107541
"60","G10024 Q4",1999,"G10024",2,4,FALSE,FALSE,"SWE",2080030160,1997,1.58491190790155,0.530927003950258,0.011497289291273,0.117940936676527,0.011497289291273,0.117940936676527
"61","G10024 Q4",2000,"G10024",1,4,FALSE,FALSE,"SWE",2080030160,1999,0.871434914129954,0.416318286028425,-0.713476993771592,-0.114608717921833,0.713476993771592,0.114608717921833
"62","G10024 Q4",2002,"G10024",2,4,FALSE,FALSE,"SWE",2080030160,2000,1.50688118356045,0.303551369882969,0.635446269430493,-0.112766916145456,0.635446269430493,0.112766916145456
"63","G10024 Q4",2004,"G10024",2,4,FALSE,FALSE,"SWE",2080030160,2002,0.880115489714097,0.364393357125517,-0.626765693846351,0.0608419872425477,0.626765693846351,0.0608419872425477
"64","G10024 Q4",2006,"G10024",2,4,FALSE,FALSE,"SWE",2080030160,2004,1.52010051676398,0.467702924514657,0.639985027049888,0.103309567389141,0.639985027049888,0.103309567389141
"65","G10024 Q4",2008,"G10024",2,4,FALSE,FALSE,"SWE",2080030160,2006,1.49345628698422,0.541794700160786,-0.0266442297797636,0.0740917756461283,0.0266442297797636,0.0740917756461283
"66","G10024 Q4",2009,"G10024",1,4,FALSE,FALSE,"SWE",2080030160,2008,0.414191176292588,0.288387179281519,-1.07926511069163,-0.253407520879266,1.07926511069163,0.253407520879266
"67","G10024 Q4",2010,"G10024",1,4,FALSE,FALSE,"SWE",2080030160,2009,0.668026625799633,0.42955156457277,0.253835449507045,0.14116438529125,0.253835449507045,0.14116438529125
"68","G10024 Q4",2012,"G10024",2,4,FALSE,FALSE,"SWE",2080030160,2010,1.70731218249775,0.574269974685518,1.03928555669811,0.144718410112748,1.03928555669811,0.144718410112748
"69","G10024 Q4",2013,"G10024",1,4,FALSE,FALSE,"SWE",2080030160,2012,1.25116469271086,0.474958219605764,-0.456147489786885,-0.0993117550797536,0.456147489786885,0.0993117550797536
